"Hackbright Academy","683 Sutter St, San Francisco, CA 94109","37.786220","-122.432210"
"Park Place","851 Church St, Mountain View, CA 94041","-122.085190","-122.083490"
"Stanford University","450 Serra Mall, Stanford, CA 94305","37.427662","-122.170059"
"Tofu House","4127 El Camino Real, Palo Alto, CA 94306","37.413681","-122.125351"
"1 Infinite Loop","One Infinite Loop, Cupertino, CA 95014","37.332100","-122.030739"
"Apple Park","10955 N Tantau Ave, Cupertino, CA 95014","37.336970","-122.005530"
"Apple Central & Wolfe Campus","222 N Wolfe Rd, Sunnyvale, CA 94085, United States","37.379090","-122.011510"
"Googleplex","1600 Amphitheatre Pkwy, Mountain View, CA 94043","37.423199","-122.084068"
"Google X Lab","100 Mayfield Ave, Mountain View, CA 94043","37.409439","-122.105919"
"Google SF","345 Spear Street, San Francisco, CA 94105","37.789631","-122.390160"
"Google RWC","1600 Seaport Boulevard, Redwood City, CA 94063","37.512320","-122.200910"
"Google Sunnyvale","803 11th Avenue, Sunnyvale, CA 94089","37.403650","-122.031580"
"Google Garage","232 Santa Margarita Ave, Menlo Park, CA 94025","37.457668","-122.163673"
"YouTube","901 Cherry Avenue, San Bruno, CA 94066","37.627970","-122.426350"
"Facebook","1 Hacker Way, Menlo Park, CA 94025","37.484379","-122.148308"
"Steve Jobs' Home","2101 Waverley Street, Palo Alto, CA 94301","37.434850","-122.140350"
"Homestead High School","21370 Homestead Rd, Cupertino, CA 95014","37.336712","-122.049080"
"Apple Garage","2066 Crist Dr, Los Altos, CA 94024","37.340408","-122.068970"
"HP Garage","367 Addison Ave, Palo Alto, CA 94301","37.443031","-122.154663"
