author_id,link-href,title,author,description,genres,isbn,location,cover,date
1,https://www.goodreads.com/book/show/18302455-the-circle,The Circle,Dave Eggers,null,Fiction,"0385351399
                      (ISBN13: 9780385351393)",California,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376419833l/18302455.jpg,null
2,https://www.goodreads.com/book/show/6326920-the-accidental-billionaires,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal",Ben Mezrich,null,Nonfiction,"0385529376
                      (ISBN13: 9780385529372)","Harvard University, Cambridge, Massachusetts",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320527444l/6326920.jpg,January 1st 2009)
3,https://www.goodreads.com/book/show/20448184-war,@War: The Rise of the Military-Internet Complex,Shane Harris,null,Politics,"0544251792
                      (ISBN13: 9780544251793)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391614131l/20448184.jpg,(first published November 6th 2014)
4,https://www.goodreads.com/book/show/48870.Apple_Confidential_2_0,Apple Confidential 2.0: The Definitive History of the World's Most Colorful Company,Owen W. Linzmayer,null,Science,"1593270100
                      (ISBN13: 9781593270100)","Cupertino, CA",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328753426l/48870.jpg,(first published January 2004)
5,https://www.goodreads.com/book/show/11786911-are-you-smart-enough-to-work-at-google,Are You Smart Enough to Work at Google?,William Poundstone,null,Business,"031609997X
                      (ISBN13: 9780316099974)","Mountain View, CA",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344271594l/11786911.jpg,(first published 2012)
6,https://www.goodreads.com/book/show/23395719-becoming-steve-jobs,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender,null,Apple,"0771079141
                      (ISBN13: 9780771079146)","Cupertino, CA",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421713283l/23395719.jpg,null
7,https://www.goodreads.com/book/show/835023.Betty_Doll,Betty Doll,Patricia Polacco,null,Biography,"014240196X
                      (ISBN13: 9780142401965)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347648394l/835023.jpg,(first published April 2nd 2001)
8,https://www.goodreads.com/book/show/36288143-brotopia,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,null,Feminism,B074LQKJJC,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506133747l/36288143._SY475_.jpg,null
9,https://www.goodreads.com/book/show/28259132-chaos-monkeys,Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,Antonio García Martínez,null,Buisness,"0062458191
                      (ISBN13: 9780062458193)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465404348l/28259132._SY475_.jpg,null
10,https://www.goodreads.com/book/show/44882.Code,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,null,Computer Science,"0735611319
                      (ISBN13: 9780735611313)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328830222l/44882.jpg,(first published September 29th 1999)
11,https://www.goodreads.com/book/show/38860.Convergence_Culture,Convergence Culture: Where Old and New Media Collide,Henry Jenkins,null,Science,"0814742815
                      (ISBN13: 9780814742815)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417984230l/38860.jpg,(first published 2006)
12,https://www.goodreads.com/book/show/18465875-countdown-to-zero-day,Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon,Kim Zetter,null,Science,,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404960332l/18465875.jpg,(first published June 3rd 2014)
13,https://www.goodreads.com/book/show/7286217-cyberwar,Cyberwar: The Next Threat to National Security & What to Do About It,Richard A. Clarke,null,Science,"0061962236
                      (ISBN13: 9780061962233)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267728945l/7286217.jpg,null
14,https://www.goodreads.com/book/show/1101290.Dealers_of_Lightning,Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,null,Computers,"0887309895
                      (ISBN13: 9780887309892)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349086333l/1101290.jpg,(first published March 1st 1999)
15,https://www.goodreads.com/book/show/10416227-direct-from-dell,Direct From Dell: Strategies That Revolutionized an Industry,Michael Dell,null,Autobiography,B003WJRDY2,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429385800l/10416227.jpg,(first published February 17th 1999)
16,https://www.goodreads.com/book/show/17332226-dogfight,Dogfight: How Apple and Google Went to War and Started a Revolution,Fred Vogelstein,null,Entrepreneurship,"0374109206
                      (ISBN13: 9780374109202)",null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368362829l/17332226.jpg,(first published 2013)
