web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
"1613083995-3013","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Googled: The End of the World as We Know It","https://www.goodreads.com/book/show/6514908-googled","Googled: The End of the World as We Know It","Ken Auletta","null","Technology","1594202354
                      (ISBN13: 9781594202353)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg","(first published 2009)"
"1613083727-2693","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley","https://www.goodreads.com/book/show/28259132-chaos-monkeys","Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley","Antonio García Martínez","null","Biography","0062458191
                      (ISBN13: 9780062458193)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465404348l/28259132._SY475_.jpg","null"
"1613083891-2861","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","On the Edge: The Spectacular Rise and Fall of Commodore","https://www.goodreads.com/book/show/412006.On_the_Edge","On the Edge: The Spectacular Rise and Fall of Commodore","Brian  Bagnall","null","Computer Science","0973864907
                      (ISBN13: 9780973864908)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328861455l/412006.jpg","(first published September 14th 2005)"
"1613083796-2750","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Apple Confidential 2.0: The Definitive History of the World's Most Colorful Company","https://www.goodreads.com/book/show/48870.Apple_Confidential_2_0","Apple Confidential 2.0: The Definitive History of the World's Most Colorful Company","Owen W. Linzmayer","null","Technology","1593270100
                      (ISBN13: 9781593270100)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328753426l/48870.jpg","(first published January 2004)"
"1613084454-3547","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Facebook Effect: The Inside Story of the Company That is Connecting the World","https://www.goodreads.com/book/show/7518289-the-facebook-effect","The Facebook Effect: The Inside Story of the Company That is Connecting the World","David   Kirkpatrick","null","Economics","1439102112
                      (ISBN13: 9781439102114)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442657421l/7518289._SY475_.jpg","(first published 2010)"
"1613083811-2762","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Planet Google: One Company's Audacious Plan to Organize Everything We Know","https://www.goodreads.com/book/show/3839314-planet-google","Planet Google: One Company's Audacious Plan to Organize Everything We Know","Randall E. Stross","null","Economics","141654691X
                      (ISBN13: 9781416546917)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348605830l/3839314.jpg","(first published January 1st 2008)"
"1613083710-2664","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Hooking Up","https://www.goodreads.com/book/show/2025353.Hooking_Up","Hooking Up","Tom Wolfe","null","Essays","0374103828
                      (ISBN13: 9780374103828)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423503927l/2025353.jpg","(first published 1989)"
"1613084109-3160","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The One Device: The Secret History of the iPhone","https://www.goodreads.com/book/show/32603496-the-one-device","The One Device: The Secret History of the iPhone","Brian Merchant","null","Design","0593078411
                      (ISBN13: 9780593078419)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481570357l/32603496._SY475_.jpg","null"
"1613084293-3374","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Founders at Work: Stories of Startups' Early Days","https://www.goodreads.com/book/show/98233.Founders_at_Work","Founders at Work: Stories of Startups' Early Days","Jessica Livingston","null","Science","1590597141
                      (ISBN13: 9781590597149)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439953323l/98233._SY475_.jpg","(first published 2001)"
"1613084109-3157","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The One Device: The Secret History of the iPhone","https://www.goodreads.com/book/show/32603496-the-one-device","The One Device: The Secret History of the iPhone","Brian Merchant","null","Technology","0593078411
                      (ISBN13: 9780593078419)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481570357l/32603496._SY475_.jpg","null"
"1613083995-3011","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Googled: The End of the World as We Know It","https://www.goodreads.com/book/show/6514908-googled","Googled: The End of the World as We Know It","Ken Auletta","null","Business","1594202354
                      (ISBN13: 9781594202353)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg","(first published 2009)"
"1613084084-3132","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Wealth of Networks: How Social Production Transforms Markets and Freedom","https://www.goodreads.com/book/show/14721.The_Wealth_of_Networks","The Wealth of Networks: How Social Production Transforms Markets and Freedom","Yochai Benkler","null","Internet","0300110561
                      (ISBN13: 9780300110562)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388756111l/14721.jpg","(first published January 1st 2006)"
"1613083718-2685","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Everything Store: Jeff Bezos and the Age of Amazon","https://www.goodreads.com/book/show/17660462-the-everything-store","The Everything Store: Jeff Bezos and the Age of Amazon","Brad Stone","null","Management","0316219266
                      (ISBN13: 9780316219266)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365394361l/17660462.jpg","null"
"1613083995-3016","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Googled: The End of the World as We Know It","https://www.goodreads.com/book/show/6514908-googled","Googled: The End of the World as We Know It","Ken Auletta","null","Economics","1594202354
                      (ISBN13: 9781594202353)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg","(first published 2009)"
"1613083913-2893","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","The Net Delusion: The Dark Side of Internet Freedom","https://www.goodreads.com/book/show/10003400-the-net-delusion","The Net Delusion: The Dark Side of Internet Freedom","Evgeny Morozov","null","Politics","1586488759
                      (ISBN13: 9781586488758)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1297025324l/10003400.jpg","(first published November 16th 2010)"
"1613083975-2991","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Groundswell: Winning in a World Transformed by Social Technologies","https://www.goodreads.com/book/show/2896061-groundswell","Groundswell: Winning in a World Transformed by Social Technologies","Charlene Li","null","Internet","1422125009
                      (ISBN13: 9781422125007)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442815608l/2896061._SY475_.jpg","(first published January 1st 2008)"
"1613084345-3472","https://www.goodreads.com/list/show/13430.Silicon_Valley_History","Cyberwar: The Next Threat to National Security & What to Do About It","https://www.goodreads.com/book/show/7286217-cyberwar","Cyberwar: The Next Threat to National Security & What to Do About It","Richard A. Clarke","null","Computers","0061962236
                      (ISBN13: 9780061962233)","null","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267728945l/7286217.jpg","null"
