web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
1613083663-2615,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,The Circle,https://www.goodreads.com/book/show/18302455-the-circle,The Circle,Dave Eggers,null,Fiction,9780385351393,California,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1376419833l/18302455.jpg,null
1613084036-3066,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal",https://www.goodreads.com/book/show/6326920-the-accidental-billionaires,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius, and Betrayal",Ben Mezrich,null,Nonfiction,9780385529372,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320527444l/6326920.jpg,January 1st 2009)
1613083550-2501,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,@War: The Rise of the Military-Internet Complex,https://www.goodreads.com/book/show/20448184-war,@War: The Rise of the Military-Internet Complex,Shane Harris,null,Politics,9780544251793,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391614131l/20448184.jpg,(first published November 6th 2014)
1613083796-2749,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Apple Confidential 2.0: The Definitive History of the World's Most Colorful Company,https://www.goodreads.com/book/show/48870.Apple_Confidential_2_0,Apple Confidential 2.0: The Definitive History of the World's Most Colorful Company,Owen W. Linzmayer,null,Science,9781593270100,Cupertino,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328753426l/48870.jpg,(first published January 2004)
1613083748-2710,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Are You Smart Enough to Work at Google?,https://www.goodreads.com/book/show/11786911-are-you-smart-enough-to-work-at-google,Are You Smart Enough to Work at Google?,William Poundstone,null,Business,9780316099974,Mountain View,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344271594l/11786911.jpg,(first published 2012)
1613084118-3176,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,https://www.goodreads.com/book/show/23395719-becoming-steve-jobs,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender,null,Apple,9780771079146,Cupertino,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421713283l/23395719.jpg,null
1613083787-2737,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Betty Doll,https://www.goodreads.com/book/show/835023.Betty_Doll,Betty Doll,Patricia Polacco,null,Biography,9780142401965,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347648394l/835023.jpg,(first published April 2nd 2001)
1613083677-2629,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Brotopia: Breaking Up the Boys' Club of Silicon Valley,https://www.goodreads.com/book/show/36288143-brotopia,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,null,Feminism,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506133747l/36288143._SY475_.jpg,null
1613083727-2701,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,https://www.goodreads.com/book/show/28259132-chaos-monkeys,Chaos Monkeys: Obscene Fortune and Random Failure in Silicon Valley,Antonio García Martínez,null,Buisness,9780062458193,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465404348l/28259132._SY475_.jpg,null
1613084199-3258,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Code: The Hidden Language of Computer Hardware and Software,https://www.goodreads.com/book/show/44882.Code,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,null,Computer Science,9780735611313,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328830222l/44882.jpg,(first published September 29th 1999)
